ID1,Reference,Province,Ecoregion,Region,Country,Platform,Thermal_regime,Location,Site,Start_year,End_year,Year_interval,Start_coral_cover,End_coral_cover,Log_annual_rate_of_change ,Overall_annual_rate_of_change ,Ln_annual_rate_of_change ,Lat,Lon
3,"{Reyes-Bonilla, 2002 #49515}",Tropical_East_Pacific,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Gulf_of_California,1997,1998,1,28.15,25.31,-0.05,-10.08,-10.62,23.833333,-109.416667
5,"{Reyes-Bonilla, 2002 #49515}",Tropical_East_Pacific,Cortezian,Mexican_Central,Mexico,Continental,Seasonal,Bahia_Banderas,Bahia_Banderas,1997,1998,1,12.44,1.31,-0.98,-89.47,-225.13,20.616507,-105.42879
32,"{Lopez-Perez, 2007 #47984}",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Oaxaca,La_Entrega,2001,2002,1,41.2,30.29,-0.13,-26.48,-30.77,15.736167,-96.127782
52," {Guzman, 1989 #47286}",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,La_Azufrada,1988,1989,1,48.5,50.2,0.01,3.51,3.45,2.953784,-78.17612
67,"{Guzman, 1990 #47265}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1985,1986,1,23.27,22.18,-0.02,-4.68,-4.8,7.79297,-81.75487
90,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1984,1985,1,5,6.87,0.14,37.35,31.74,7.79297,-81.75487
91,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1985,1986,1,6.87,8.62,0.1,25.47,22.69,7.79297,-81.75487
92,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1986,1987,1,8.62,8.72,0.01,1.2,1.19,7.79297,-81.75487
93,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1987,1988,1,8.72,10.47,0.08,20.06,18.28,7.79297,-81.75487
94,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1988,1989,1,10.47,7.75,-0.13,-25.98,-30.09,7.79297,-81.75487
95,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1989,1990,1,7.75,8.91,0.06,14.99,13.97,7.79297,-81.75487
97,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1992,1993,1,11.35,11.34,0,-0.12,-0.12,7.79297,-81.75487
98,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1993,1994,1,11.34,7.21,-0.2,-36.45,-45.34,7.79297,-81.75487
99,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1994,1995,1,7.21,13.9,0.29,92.87,65.69,7.79297,-81.75487
101,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1997,1998,1,13.63,13.26,-0.01,-2.7,-2.74,7.79297,-81.75487
102,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1998,2000,2,13.26,16.18,0.09,10.97,-49.47,7.79297,-81.75487
103,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2000,2001,1,16.18,14.4,-0.05,-11,-11.65,7.79297,-81.75487
104,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2001,2002,1,14.4,23.44,0.21,62.82,48.75,7.79297,-81.75487
105,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2002,2003,1,23.44,25.31,0.03,7.97,7.67,7.79297,-81.75487
106,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2003,2004,1,25.31,28,0.04,10.63,10.1,7.79297,-81.75487
107,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2004,2005,1,28,27.4,-0.01,-2.15,-2.17,7.79297,-81.75487
108,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2005,2006,1,27.4,30.91,0.05,12.82,12.07,7.79297,-81.75487
109,"{Glynn, 2014 #97710}",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2006,2007,1,30.91,29.72,-0.02,-3.85,-3.93,7.79297,-81.75487
125,"{Garzón-Ferreira, 2000 #7007}",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,Gorgona_Island,1998,1999,1,66.59,64.39,-0.01,-3.3,-3.35,2.953784,-78.17612
126,"{Garzón-Ferreira, 2000 #7007}",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,Gorgona_Island,1999,2000,1,64.39,80.49,0.1,25,22.31,2.953784,-78.17612
136,"{Zapata, 2010 #48945}",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,Gorgona_Island,1995,1996,1,70,57,-0.09,-18.57,-20.54,2.953784,-78.17612
176,"{Cortés, 2010 #106002}",Tropical_East_Pacific,Nicoya,Nicaragua_Papagayo_Zone,Costa_Rica,Continental,Upwelling,Gulf_of_Papagayo,Isla_San_Pedrillo_Islas_Murcielago,1995,1996,1,87.38,88.01,0,0.72,0.72,10.875,-85.932
177,"{Cortés, 2010 #106002}",Tropical_East_Pacific,Nicoya,Nicaragua_Papagayo_Zone,Costa_Rica,Continental,Upwelling,Gulf_of_Papagayo,Isla_San_Pedrillo_Islas_Murcielago,1996,1997,1,88.01,71.92,-0.09,-18.28,-20.19,10.875,-85.932
181,"{Cortés, 2010 #106002}",Tropical_East_Pacific,Nicoya,Nicaragua_Papagayo_Zone,Costa_Rica,Continental,Upwelling,Gulf_of_Papagayo,Bahia_Culebra,1997,1998,1,29.97,41.58,0.14,38.76,32.76,10.631,-85.6476
189,"{Cortés, 2010 #106002}",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Punta_Uvita,2003,2004,1,6,6.8,0.05,13.33,12.52,9.1449,-83.7627
190,"{Cortés, 2010 #106002}",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Punta_Uvita,2004,2005,1,6.8,7.8,0.06,14.71,13.72,9.1449,-83.7627
192,"{Cortés, 2010 #106002}",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Rocas_las_tres_hermanas,2003,2004,1,40.5,38,-0.03,-6.17,-6.37,9.10336,-83.717787
